id|name|name|role
2|Abigail Albert |Machining A|Operator
4|Laci Jayce Carter |Machining A|Machinist
6|October Isidora |Machining A|Machinist
13|Rolph Sonje |Machining B|Machinist
20|Cybill Erzsébet |Machining B|Machinist
24|Zinnia Jörg |Recepcion|Operator
26|Jody Jase |Machining B|Operator
34|Price Raelyn |Machining A|Operator
40|Riley Jost |Outdoor B|Operator
42|Jayda Elliot |Machining A|Maintenance
44|Wibke Eulalia Wallis |Machining B|Machinist
45|Abraham Ami |Cantine|Operator
48|Lulu Rube |Machining B|Maintenance
49|Janessa Fulton Délia |Machining B|Machinist
50|Janice Gotthold |Outdoor B|Operator
